filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,151,170,Face,12,126,47,164
1.jpg,151,170,Bodyprint,30,65,94,137
1.jpg,151,170,Left Leg,96,25,148,104
1.jpg,151,170,Right Leg,57,4,118,71
1.jpg,151,170,Left Arm,63,115,107,143
1.jpg,151,170,Right Arm,19,60,49,113
1.jpg,151,170,Left Hand,90,103,123,138
1.jpg,151,170,Right Hand,23,40,58,75
100.jpg,175,211,Hat,4,5,93,75
100.jpg,175,211,Face,32,52,84,88
100.jpg,175,211,Bodyprint,48,85,125,144
100.jpg,175,211,Left Arm,36,91,66,143
100.jpg,175,211,Left Hand,32,130,78,173
100.jpg,175,211,Left Leg,70,134,135,203
100.jpg,175,211,Right Leg,109,125,171,190
101.jpg,129,203,Hat,4,1,97,53
101.jpg,129,203,Face,28,43,81,76
101.jpg,129,203,Bodyprint,26,70,95,134
101.jpg,129,203,Left Leg,32,131,79,199
101.jpg,129,203,Right Leg,68,131,119,198
101.jpg,129,203,Left Arm,8,77,36,129
101.jpg,129,203,Left Hand,2,121,37,152
101.jpg,129,203,Right Arm,79,65,126,119
101.jpg,129,203,Right Hand,94,107,129,141
102.jpg,142,186,Face,13,21,57,58
102.jpg,142,186,Bodyprint,27,55,89,116
102.jpg,142,186,Left Leg,47,118,103,185
102.jpg,142,186,Right Leg,83,103,139,172
102.jpg,142,186,Left Arm,12,69,40,118
102.jpg,142,186,Left Hand,9,106,46,140
102.jpg,142,186,Right Arm,68,39,113,86
102.jpg,142,186,Right Hand,95,71,129,107
104.jpg,133,218,Hat,12,4,111,56
104.jpg,133,218,Face,34,47,90,80
104.jpg,133,218,Bodyprint,32,76,99,141
104.jpg,133,218,Left Leg,27,140,68,210
104.jpg,133,218,Right Leg,67,136,105,211
104.jpg,133,218,Left Arm,7,81,37,135
104.jpg,133,218,Right Arm,91,78,122,131
104.jpg,133,218,Left Hand,3,126,36,157
105.jpg,144,214,Hat,45,2,141,62
105.jpg,144,214,Face,58,43,112,87
105.jpg,144,214,Bodyprint,36,75,108,137
105.jpg,144,214,Right Leg,46,141,93,210
105.jpg,144,214,Left Arm,15,70,54,119
105.jpg,144,214,Right Arm,97,85,126,141
105.jpg,144,214,Left Hand,4,109,35,147
105.jpg,144,214,Right Hand,93,134,130,165
106.jpg,200,161,Hat,130,2,197,83
106.jpg,200,161,Face,121,25,159,83
106.jpg,200,161,Bodyprint,64,44,132,120
